trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,r,l,r,l,900,97,3,1,0
2,m,l,r,l,550,98,1,1,1
2,x,x,m,l,550,270,-1,1,1
3,i,l,i,l,550,38,3,1,2
4,i,l,i,l,900,-165,0,1,3
5,m,l,m,l,900,-55,3,1,4
6,t,l,i,l,450,134,0,1,5
6,x,x,t,l,450,384,-1,1,5
7,r,l,l,l,450,103,1,1,6
7,x,x,m,l,450,196,-1,1,6
8,r,l,r,l,900,-177,0,1,7
9,m,l,m,l,700,-113,3,1,8
10,m,l,m,l,450,43,3,1,9
11,t,l,t,l,900,-174,0,1,10
12,m,l,t,l,350,93,1,1,11
13,t,l,t,l,450,63,3,1,12
14,l,l,r,l,350,172,0,1,13
14,x,x,l,l,350,172,-1,1,13
15,r,l,r,l,550,-61,3,1,14
16,l,l,l,l,900,-264,0,1,15
17,i,l,m,l,350,205,0,1,16
18,t,l,t,l,350,239,0,1,17
19,m,l,m,l,700,-57,3,1,18
20,m,l,m,l,450,38,3,1,19
21,i,l,i,l,900,-196,0,1,20
22,m,l,m,l,900,-149,0,1,21
23,l,l,l,l,700,-101,3,1,22
24,l,l,l,l,450,40,3,1,23
25,t,l,i,l,900,-83,1,1,24
25,x,x,t,l,900,182,-1,1,24
26,t,l,t,l,550,58,3,1,25
27,i,l,m,l,350,231,0,1,26
27,x,x,i,l,350,465,-1,1,26
28,r,l,r,l,700,-33,3,1,27
29,l,l,l,l,700,-95,3,1,28
30,i,l,i,l,450,157,0,1,29
31,r,l,r,l,450,156,0,1,30
32,t,l,t,l,900,-138,0,1,31
33,r,l,r,l,700,-106,3,1,32
34,l,l,l,l,350,113,3,1,33
35,m,l,i,l,550,52,1,1,34
35,x,x,m,l,550,82,-1,1,34
36,m,l,m,l,450,69,3,1,35
37,m,l,m,l,900,-197,0,1,36
38,l,l,l,l,900,-134,0,1,37
39,l,l,l,l,700,-22,3,1,38
40,t,l,t,l,450,180,0,1,39
40,x,x,i,l,450,258,-1,1,39
41,m,l,r,l,550,25,1,1,40
41,x,x,m,l,550,136,-1,1,40
42,r,l,r,l,900,-98,3,1,41
43,i,l,i,l,900,-144,0,1,42
44,t,l,t,l,550,59,3,1,43
45,l,l,l,l,550,-17,3,1,44
46,m,l,m,l,450,109,3,1,45
47,l,l,l,l,350,94,3,1,46
48,r,l,r,l,350,95,3,1,47
49,l,l,l,l,900,-107,3,1,48
50,r,l,m,l,550,-44,1,1,49
50,x,x,r,l,550,35,-1,1,49
51,t,l,t,l,700,4,3,1,50
52,i,l,i,l,550,100,3,1,51
52,x,x,m,l,550,130,-1,1,51
53,l,l,l,l,550,-24,3,1,52
54,l,l,l,l,450,54,3,1,53
55,t,l,t,l,350,227,0,1,54
56,r,l,r,l,350,165,0,1,55
57,t,l,t,l,700,-52,3,1,56
58,i,l,m,l,450,120,1,1,57
59,l,l,l,l,450,28,3,1,58
60,i,l,i,l,700,107,3,1,59
61,t,l,t,l,700,-112,3,1,60
62,m,l,r,l,900,-172,0,1,61
63,l,l,l,l,450,94,3,1,62
64,l,l,l,l,350,157,0,1,63
65,m,l,m,l,350,206,0,1,64
66,r,l,r,l,700,-74,3,1,65
67,i,l,i,l,550,3,3,1,66
68,i,l,i,l,700,-90,3,1,67
69,i,l,i,l,350,99,3,1,68
70,t,l,t,l,350,210,0,1,69
71,t,l,t,l,900,-164,0,1,70
72,l,l,l,l,700,-100,3,1,71
73,r,l,m,l,350,213,0,1,72
73,x,x,r,l,350,258,-1,1,72
74,r,l,r,l,550,120,3,1,73
75,r,l,r,l,450,59,3,1,74
76,m,l,m,l,700,-49,3,1,75
77,t,l,t,l,700,12,3,1,76
78,r,l,r,l,450,-2,3,1,77
79,i,l,i,l,900,-110,3,1,78
80,l,l,l,l,550,0,3,1,79
81,i,l,i,l,700,1,3,1,80
82,i,l,i,l,450,97,3,1,81
83,r,l,r,l,350,144,0,1,82
84,r,l,r,l,700,-74,3,1,83
85,t,l,t,l,550,115,3,1,84
86,i,l,i,l,550,-41,3,1,85
87,r,l,r,l,550,-56,3,1,86
88,m,l,m,l,550,24,3,1,87
89,r,l,r,l,900,-162,0,1,88
90,i,l,i,l,450,118,3,1,89
91,m,l,r,l,350,136,0,1,90
91,x,x,m,l,350,370,-1,1,90
92,i,l,i,l,700,27,3,1,91
93,m,l,m,l,350,200,0,1,92
94,i,l,i,l,350,185,0,1,93
95,l,l,l,l,550,31,3,1,94
96,t,l,t,l,350,251,0,1,95
96,x,x,i,l,350,359,-1,1,95
97,t,l,t,l,450,64,3,1,96
98,t,l,t,l,550,-13,3,1,97
99,l,l,l,l,900,-137,0,1,98
100,m,l,m,l,700,-44,3,1,99
