trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,m,l,r,l,150,302,0,1,0
2,m,l,m,l,500,7,3,1,1
3,i,l,i,l,500,38,3,1,2
4,l,l,l,l,400,102,3,1,3
5,m,l,i,l,150,337,0,1,4
5,x,x,m,l,150,354,-1,1,4
6,l,l,l,l,150,385,0,1,5
7,r,l,r,l,400,42,3,1,6
8,r,l,r,l,150,278,0,1,7
9,i,l,i,l,225,296,0,1,8
10,i,l,i,l,500,-1,3,1,9
11,r,l,l,l,225,265,0,1,10
11,x,x,m,l,225,343,-1,1,10
12,l,l,l,l,400,80,3,1,11
13,m,l,m,l,400,127,0,1,12
14,r,l,l,l,150,315,0,1,13
15,t,l,m,l,150,207,0,1,14
16,l,l,l,l,300,222,0,1,15
17,t,l,i,l,400,67,1,1,16
18,i,l,t,l,150,69,1,1,17
19,i,l,m,l,150,258,0,1,18
19,x,x,i,l,150,273,-1,1,18
20,r,l,m,l,500,39,1,1,19
20,x,x,r,l,500,165,-1,1,19
21,t,l,t,l,400,150,0,1,20
22,r,l,r,l,300,229,0,1,21
23,l,l,r,l,225,229,0,1,22
24,i,l,i,l,400,215,0,1,23
25,m,l,i,l,300,247,0,1,24
25,x,x,m,l,300,263,-1,1,24
26,m,l,m,l,225,233,0,1,25
27,i,l,m,l,225,62,1,1,26
28,r,l,m,l,400,-155,0,1,27
29,m,l,m,l,500,33,3,1,28
30,l,l,l,l,225,251,0,1,29
31,l,l,l,l,300,207,0,1,30
32,r,l,r,l,400,67,3,1,31
33,r,l,r,l,400,36,3,1,32
34,l,l,l,l,500,22,3,1,33
35,t,l,i,l,150,350,0,1,34
36,r,l,t,l,150,210,0,1,35
37,m,l,t,l,225,-23,1,1,36
38,i,l,t,l,500,-6,1,1,37
39,m,l,i,l,400,56,1,1,38
39,x,x,m,l,400,120,-1,1,38
40,r,l,r,l,300,231,0,1,39
40,x,x,l,l,300,261,-1,1,39
41,i,l,t,l,400,200,0,1,40
42,m,l,m,l,400,123,3,1,41
43,t,l,t,l,225,-32,3,1,42
44,t,l,t,l,300,-32,3,1,43
45,m,l,m,l,300,189,0,1,44
46,m,l,r,l,150,-15,1,1,45
47,t,l,m,l,300,-44,1,1,46
48,m,l,t,l,400,4,1,1,47
49,i,l,m,l,500,97,1,1,48
50,t,l,i,l,150,146,0,1,49
50,x,x,m,l,150,209,-1,1,49
51,r,l,m,l,225,54,1,1,50
52,t,l,t,l,500,117,3,1,51
53,l,l,x,x,225,,-1,1,52
54,i,l,t,l,300,-23,1,1,53
55,t,l,t,l,500,72,3,1,54
56,t,l,t,l,400,-84,3,1,55
57,i,l,t,l,225,11,1,1,56
58,i,l,t,l,300,107,1,1,57
59,l,l,t,l,150,139,0,1,58
60,t,l,m,l,225,0,1,1,59
61,l,l,m,l,300,62,1,1,60
62,i,l,t,l,225,126,0,1,61
63,r,l,t,l,225,-45,1,1,62
64,r,l,r,l,500,34,3,1,63
65,m,l,t,l,300,51,1,1,64
66,r,l,m,l,225,20,1,1,65
67,i,l,m,l,300,-42,1,1,66
68,t,l,t,l,500,69,3,1,67
69,i,l,t,l,150,-39,1,1,68
70,l,l,t,l,150,-100,1,1,69
71,r,l,m,l,500,-22,1,1,70
72,i,l,m,l,300,57,1,1,71
73,l,l,m,l,400,-36,1,1,72
74,r,l,m,l,500,-81,1,1,73
75,t,l,m,l,300,29,1,1,74
76,l,l,m,l,500,-18,1,1,75
77,l,l,l,l,400,0,3,1,76
78,l,l,r,l,225,63,1,1,77
79,m,l,l,l,300,49,1,1,78
80,l,l,l,l,500,2,3,1,79
81,t,l,l,l,150,82,1,1,80
82,t,l,m,l,225,-106,1,1,81
83,m,l,m,l,500,-73,3,1,82
84,l,l,m,l,150,-88,1,1,83
85,l,l,m,l,300,-87,1,1,84
86,i,l,m,l,400,-86,1,1,85
87,m,l,i,l,150,56,1,1,86
88,m,l,m,l,225,-145,0,1,87
89,t,l,m,l,500,-36,1,1,88
90,t,l,t,l,400,-82,3,1,89
91,r,l,t,l,300,-64,1,1,90
92,r,l,m,l,300,-175,0,1,91
93,m,l,m,l,500,-110,3,1,92
94,t,l,m,l,225,-77,1,1,93
95,i,l,m,l,150,-45,1,1,94
96,i,l,m,l,400,-170,0,1,95
97,t,l,t,l,300,4,3,1,96
98,m,l,t,l,225,-106,1,1,97
99,r,l,m,l,150,-167,0,1,98
100,l,l,m,l,500,-120,1,1,99
