trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,t,l,t,l,900,-28,3,2,0
1,l,l,l,l,900,-31,3,2,0
2,r,l,r,l,450,163,0,2,1
2,l,l,l,l,450,137,0,2,1
3,i,l,i,l,550,84,3,2,2
3,m,l,m,l,550,83,3,2,2
4,i,l,t,l,350,205,0,2,3
4,r,l,r,l,350,137,0,2,3
5,t,l,t,l,700,69,3,2,4
5,i,l,i,l,700,46,3,2,4
6,t,l,i,l,450,130,0,2,5
6,l,l,l,l,450,118,0,2,5
7,i,l,i,l,900,-3,3,2,6
7,m,l,m,l,900,-4,3,2,6
8,r,l,r,l,550,123,0,2,7
8,l,l,l,l,550,79,3,2,7
9,t,l,t,l,900,20,3,2,8
9,i,l,i,l,900,4,3,2,8
10,i,l,i,l,700,83,3,2,9
10,m,l,m,l,700,82,3,2,9
11,t,l,t,l,550,151,0,2,10
11,i,l,i,l,550,107,0,2,10
12,i,l,i,l,550,172,0,2,11
12,m,l,m,l,550,112,0,2,11
13,m,l,i,l,700,100,1,2,12
13,l,l,l,l,700,103,0,2,12
14,i,l,i,l,700,13,3,2,13
14,r,l,r,l,700,13,3,2,13
15,m,l,m,l,550,132,0,2,14
15,r,l,r,l,550,125,0,2,14
16,t,l,i,l,900,47,1,2,15
16,m,l,m,l,900,63,3,2,15
17,i,l,t,l,550,153,0,2,16
17,l,l,l,l,550,129,0,2,16
18,m,l,m,l,900,-3,3,2,17
18,l,l,l,l,900,30,3,2,17
19,t,l,i,l,350,213,0,2,18
19,r,l,l,l,350,217,0,2,18
20,t,l,t,l,900,13,3,2,19
20,i,l,i,l,900,-20,3,2,19
21,t,l,t,l,450,97,3,2,20
21,i,l,i,l,450,81,3,2,20
22,t,l,i,l,550,189,0,2,21
22,m,l,m,l,550,105,0,2,21
23,m,l,m,l,700,63,3,2,22
23,l,l,l,l,700,47,3,2,22
24,r,l,m,l,700,36,1,2,23
24,l,l,l,l,700,4,3,2,23
25,t,l,i,l,450,114,0,2,24
25,m,l,m,l,450,129,0,2,24
26,i,l,i,l,350,238,0,2,25
26,r,l,r,l,350,234,0,2,25
27,t,l,i,l,450,129,0,2,26
27,m,l,r,l,450,141,0,2,26
28,i,l,i,l,700,63,3,2,27
28,m,l,m,l,700,46,3,2,27
29,t,l,i,l,450,166,0,2,28
29,l,l,l,l,450,146,0,2,28
30,i,l,i,l,700,53,3,2,29
30,m,l,m,l,700,52,3,2,29
31,m,l,m,l,700,79,3,2,30
31,r,l,r,l,700,22,3,2,30
32,i,l,x,x,350,,0,2,31
32,l,l,x,x,350,,0,2,31
33,i,l,i,l,350,167,0,2,32
33,m,l,m,l,350,246,0,2,32
34,i,l,i,l,450,100,0,2,33
34,m,l,m,l,450,104,0,2,33
35,t,l,i,l,550,55,1,2,34
35,l,l,m,l,550,67,1,2,34
36,t,l,i,l,550,-13,1,2,35
36,m,l,m,l,550,-16,3,2,35
37,r,l,m,l,900,113,0,2,36
37,l,l,i,l,900,121,0,2,36
38,t,l,t,l,700,186,0,2,37
38,l,l,i,l,700,147,0,2,37
39,m,l,i,l,900,-17,1,2,38
39,r,l,t,l,900,-2,1,2,38
40,t,l,t,l,450,-12,3,2,39
40,m,l,i,l,450,-20,1,2,39
41,i,l,i,l,900,-54,3,2,40
41,l,l,t,l,900,-32,1,2,40
42,m,l,i,l,450,-12,1,2,41
42,r,l,t,l,450,12,1,2,41
43,t,l,i,l,450,113,0,2,42
43,l,l,l,l,450,117,0,2,42
44,i,l,i,l,550,148,0,2,43
44,r,l,l,l,550,129,0,2,43
45,m,l,m,l,900,-832,0,2,44
45,l,l,x,x,900,,0,2,44
46,t,l,x,x,700,,0,2,45
46,m,l,r,l,700,-904,0,2,45
47,t,l,t,l,900,63,3,2,46
47,l,l,l,l,900,45,3,2,46
48,r,l,r,l,550,116,0,2,47
48,l,l,l,l,550,96,3,2,47
49,t,l,x,x,350,,0,2,48
49,i,l,i,l,350,279,0,2,48
50,t,l,t,l,550,80,3,2,49
50,l,l,l,l,550,63,3,2,49
51,m,l,m,l,700,112,0,2,50
51,l,l,l,l,700,162,0,2,50
52,m,l,m,l,700,65,3,2,51
52,r,l,r,l,700,29,3,2,51
53,m,l,m,l,550,45,3,2,52
53,r,l,r,l,550,52,3,2,52
54,t,l,t,l,550,104,0,2,53
54,r,l,l,l,550,88,1,2,53
55,i,l,t,l,350,155,0,2,54
55,l,l,l,l,350,131,0,2,54
56,r,l,r,l,700,104,0,2,55
56,l,l,l,l,700,101,0,2,55
57,t,l,t,l,700,98,3,2,56
57,r,l,r,l,700,79,3,2,56
58,i,l,t,l,700,66,1,2,57
58,r,l,r,l,700,38,3,2,57
59,r,l,t,l,350,128,0,2,58
59,l,l,l,l,350,100,3,2,58
60,m,l,r,l,350,129,0,2,59
60,l,l,l,l,350,165,0,2,59
61,t,l,t,l,700,96,3,2,60
61,l,l,l,l,700,79,3,2,60
62,t,l,t,l,900,53,3,2,61
62,l,l,l,l,900,46,3,2,61
63,i,l,i,l,900,17,3,2,62
63,l,l,l,l,900,13,3,2,62
64,t,l,t,l,900,-59,3,2,63
64,i,l,i,l,900,-71,3,2,63
65,i,l,t,l,450,104,0,2,64
65,r,l,r,l,450,88,3,2,64
66,t,l,t,l,350,168,0,2,65
66,l,l,l,l,350,180,0,2,65
67,i,l,t,l,450,130,0,2,66
67,r,l,r,l,450,79,3,2,66
68,t,l,i,l,900,67,1,2,67
68,m,l,m,l,900,55,3,2,67
69,t,l,t,l,450,35,3,2,68
69,r,l,r,l,450,99,3,2,68
70,t,l,t,l,700,55,3,2,69
