trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,m,r,m,r,550,4,3,2,0
1,r,r,r,r,550,46,3,2,0
2,i,r,m,r,450,-96,1,2,1
2,r,r,r,r,450,-54,3,2,1
3,m,r,m,r,450,-154,0,2,2
3,r,r,i,r,450,-196,0,2,2
4,i,r,i,r,350,146,0,2,3
4,r,r,m,r,350,103,0,2,3
5,i,r,i,r,550,46,3,2,4
5,m,r,m,r,550,4,3,2,4
6,i,r,i,r,900,-54,3,2,5
6,r,r,m,r,900,-96,1,2,5
7,i,r,m,r,700,-196,0,2,6
7,r,r,r,r,700,-154,0,2,6
8,m,r,m,r,700,104,0,2,7
8,r,r,i,r,700,145,0,2,7
9,i,r,i,r,450,46,3,2,8
9,m,r,r,r,450,4,1,2,8
10,i,r,m,r,550,-96,1,2,9
10,r,r,r,r,550,-54,3,2,9
11,i,r,i,r,350,-196,0,2,10
11,m,r,m,r,350,-154,0,2,10
12,m,r,i,r,350,104,0,2,11
12,r,r,r,r,350,147,0,2,11
13,i,r,i,r,900,4,3,2,12
13,m,r,m,r,900,46,3,2,12
14,i,r,r,r,700,-55,1,2,13
14,m,r,m,r,700,-96,3,2,13
15,m,r,i,r,900,-155,0,2,14
15,r,r,r,r,900,-196,0,2,14
