trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,i,l,t,l,150,207,0,1,0
2,r,l,t,l,150,84,1,1,1
3,i,l,m,l,225,100,1,1,2
4,l,l,r,l,500,8,1,1,3
4,x,x,l,l,500,54,-1,1,3
5,l,l,i,l,225,180,0,1,4
6,m,l,m,l,225,88,3,1,5
7,i,l,t,l,300,119,1,1,6
7,x,x,i,l,300,182,-1,1,6
8,m,l,m,l,150,277,0,1,7
9,l,l,r,l,300,168,0,1,8
9,x,x,l,l,300,200,-1,1,8
10,m,l,m,l,150,247,0,1,9
11,l,l,m,l,225,124,1,1,10
12,t,l,t,l,300,235,0,1,11
13,r,l,r,l,400,156,0,1,12
14,m,l,m,l,150,235,0,1,13
15,i,l,i,l,300,236,0,1,14
16,t,l,i,l,150,409,0,1,15
16,x,x,t,l,150,487,-1,1,15
17,t,l,t,l,500,66,3,1,16
18,t,l,i,l,150,333,0,1,17
18,x,x,t,l,150,395,-1,1,17
19,t,l,t,l,300,99,3,1,18
20,l,l,l,l,500,53,3,1,19
21,l,l,t,l,150,274,0,1,20
22,i,l,m,l,225,367,0,1,21
22,x,x,i,l,225,430,-1,1,21
23,r,l,r,l,300,338,0,1,22
24,r,l,r,l,500,151,0,1,23
25,r,l,r,l,150,294,0,1,24
26,t,l,t,l,400,90,3,1,25
27,i,l,i,l,400,201,0,1,26
27,x,x,t,l,400,294,-1,1,26
28,l,l,l,l,150,312,0,1,27
29,r,l,m,l,300,156,0,1,28
30,i,l,t,l,400,142,0,1,29
30,x,x,i,l,400,250,-1,1,29
31,r,l,r,l,500,95,3,1,30
32,l,l,l,l,400,64,3,1,31
33,m,l,m,l,500,50,3,1,32
34,r,l,r,l,150,270,0,1,33
35,t,l,m,l,225,224,0,1,34
36,t,l,t,l,300,162,0,1,35
37,l,l,l,l,500,38,3,1,36
38,t,l,t,l,225,399,0,1,37
39,m,l,t,l,225,149,0,1,38
40,r,l,r,l,225,167,0,1,39
41,l,l,l,l,400,106,3,1,40
42,i,l,t,l,225,261,0,1,41
43,i,l,i,l,150,325,0,1,42
44,i,l,i,l,500,-2,3,1,43
45,m,l,r,l,400,125,1,1,44
46,m,l,r,l,400,15,1,1,45
47,m,l,m,l,500,-62,3,1,46
48,t,l,t,l,400,111,3,1,47
49,m,l,m,l,400,143,0,1,48
49,x,x,r,l,400,159,-1,1,48
50,t,l,t,l,150,332,0,1,49
51,l,l,l,l,500,99,3,1,50
52,t,l,t,l,400,114,3,1,51
53,i,l,i,l,500,100,3,1,52
54,m,l,m,l,500,23,3,1,53
55,l,l,t,l,150,195,0,1,54
56,t,l,t,l,225,244,0,1,55
57,i,l,t,l,150,292,0,1,56
58,m,l,m,l,500,74,3,1,57
58,x,x,r,l,500,105,-1,1,57
59,m,l,m,l,150,356,0,1,58
60,t,l,m,l,150,263,0,1,59
61,r,l,r,l,225,342,0,1,60
62,r,l,r,l,225,311,0,1,61
63,i,l,t,l,300,236,0,1,62
64,l,l,r,l,225,267,0,1,63
65,i,l,i,l,150,314,0,1,64
66,t,l,t,l,500,97,3,1,65
67,m,l,r,l,300,223,0,1,66
68,r,l,r,l,400,116,3,1,67
69,t,l,t,l,300,115,3,1,68
70,r,l,r,l,400,132,0,1,69
71,t,l,t,l,225,211,0,1,70
72,r,l,r,l,500,-7,3,1,71
73,m,l,m,l,300,213,0,1,72
74,l,l,l,l,300,215,0,1,73
75,r,l,m,l,150,339,0,1,74
76,l,l,r,l,400,91,1,1,75
76,x,x,l,l,400,153,-1,1,75
77,r,l,r,l,300,279,0,1,76
78,r,l,r,l,300,218,0,1,77
79,m,l,m,l,400,15,3,1,78
80,m,l,t,l,225,188,0,1,79
81,r,l,r,l,500,3,3,1,80
82,l,l,l,l,400,65,3,1,81
83,l,l,l,l,300,191,0,1,82
84,l,l,l,l,300,161,0,1,83
85,m,l,x,x,225,,-1,1,84
86,i,l,i,l,500,131,0,1,85
87,i,l,i,l,400,70,3,1,86
88,i,l,i,l,225,212,0,1,87
89,r,l,r,l,400,150,0,1,88
90,m,l,m,l,300,121,3,1,89
91,t,l,i,l,400,199,0,1,90
92,l,l,t,l,225,262,0,1,91
93,r,l,m,l,225,294,0,1,92
93,x,x,r,l,225,358,-1,1,92
94,i,l,i,l,400,109,3,1,93
95,t,l,t,l,500,46,3,1,94
96,i,l,i,l,500,78,3,1,95
96,x,x,m,l,500,236,-1,1,95
97,t,l,t,l,500,1,3,1,96
98,m,l,m,l,300,206,0,1,97
99,i,l,i,l,300,222,0,1,98
100,l,l,l,l,150,380,0,1,99
