trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,t,l,t,l,800,-83,3,1,0
2,t,l,t,l,450,-114,3,1,1
3,m,l,t,l,450,-115,1,1,2
3,x,x,m,l,450,10,-1,1,2
4,r,l,l,l,600,-83,1,1,3
4,x,x,m,l,600,56,-1,1,3
5,r,l,r,l,800,-68,3,1,4
6,m,l,m,l,450,-6,3,1,5
7,m,l,r,l,150,-22,1,1,6
8,i,l,r,l,150,-69,1,1,7
8,x,x,l,l,150,26,-1,1,7
9,t,l,t,l,800,-99,3,1,8
10,r,l,t,l,225,-37,1,1,9
11,m,l,r,l,450,-37,1,1,10
11,x,x,m,l,450,26,-1,1,10
12,m,l,m,l,150,-5,3,1,11
13,i,l,m,l,600,-36,1,1,12
13,x,x,i,l,600,-5,-1,1,12
14,l,l,r,l,450,88,1,1,13
14,x,x,l,l,450,166,-1,1,13
15,l,l,r,l,150,42,1,1,14
16,i,l,m,l,150,-36,1,1,15
17,m,l,m,l,225,-53,3,1,16
18,r,l,l,l,450,-193,0,1,17
18,x,x,r,l,450,182,-1,1,17
19,i,l,i,l,600,11,3,1,18
20,r,l,i,l,225,-22,1,1,19
21,l,l,l,l,800,-69,3,1,20
22,m,l,m,l,600,-69,3,1,21
23,t,l,t,l,800,-68,3,1,22
24,l,l,l,l,800,-114,3,1,23
25,r,l,r,l,800,-130,0,1,24
26,l,l,m,l,450,-37,1,1,25
27,i,l,m,l,450,88,1,1,26
28,l,l,l,l,450,103,3,1,27
29,m,l,m,l,800,-69,3,1,28
30,t,l,i,l,600,-69,1,1,29
30,x,x,t,l,600,-6,-1,1,29
31,r,l,t,l,225,-21,1,1,30
32,i,l,t,l,225,-83,1,1,31
33,i,l,m,l,450,-83,1,1,32
34,l,l,l,l,800,-52,3,1,33
35,t,l,t,l,600,-68,3,1,34
36,r,l,t,l,150,-83,1,1,35
37,r,l,m,l,600,-52,1,1,36
37,x,x,r,l,600,25,-1,1,36
38,r,l,r,l,800,-131,0,1,37
39,i,l,i,l,600,25,3,1,38
40,r,l,m,l,450,26,1,1,39
40,x,x,r,l,450,72,-1,1,39
41,t,l,i,l,450,26,1,1,40
41,x,x,t,l,450,42,-1,1,40
42,i,l,t,l,600,-99,1,1,41
42,x,x,m,l,600,26,-1,1,41
43,t,l,t,l,600,-53,3,1,42
44,t,l,t,l,450,-37,3,1,43
45,r,l,t,l,150,-84,1,1,44
46,m,l,t,l,150,-83,1,1,45
47,r,l,t,l,225,-68,1,1,46
48,l,l,t,l,450,-115,1,1,47
49,m,l,t,l,225,-100,1,1,48
50,m,l,t,l,225,-53,1,1,49
51,t,l,t,l,800,-52,3,1,50
52,m,l,m,l,600,-52,3,1,51
53,r,l,r,l,800,-68,3,1,52
54,i,l,m,l,225,-37,1,1,53
55,m,l,m,l,800,-84,3,1,54
56,m,l,m,l,450,-37,3,1,55
57,l,l,l,l,600,-83,3,1,56
58,i,l,i,l,800,-69,3,1,57
59,m,l,m,l,800,-130,0,1,58
60,i,l,i,l,800,-36,3,1,59
61,i,l,i,l,800,-36,3,1,60
62,i,l,i,l,150,-68,3,1,61
63,t,l,i,l,150,-83,1,1,62
64,l,l,i,l,225,-53,1,1,63
65,l,l,l,l,800,-83,3,1,64
66,r,l,r,l,600,-84,3,1,65
67,l,l,l,l,600,-83,3,1,66
68,l,l,l,l,225,57,3,1,67
69,m,l,m,l,800,-69,3,1,68
70,t,l,m,l,150,-37,1,1,69
71,m,l,m,l,600,-22,3,1,70
72,l,l,l,l,600,-21,3,1,71
73,r,l,m,l,150,-84,1,1,72
74,t,l,m,l,225,-99,1,1,73
75,t,l,m,l,150,-52,1,1,74
76,m,l,m,l,225,-21,3,1,75
77,i,l,m,l,450,-5,1,1,76
78,l,l,m,l,225,11,1,1,77
79,i,l,l,l,225,-68,1,1,78
80,i,l,i,l,800,-68,3,1,79
81,m,l,t,l,150,-83,1,1,80
82,l,l,m,l,150,-114,1,1,81
83,t,l,t,l,600,-52,3,1,82
84,t,l,t,l,225,-53,3,1,83
85,l,l,t,l,225,-21,1,1,84
86,t,l,l,l,150,-52,1,1,85
87,i,l,t,l,150,-69,1,1,86
88,t,l,m,l,225,-22,1,1,87
89,l,l,l,l,600,-114,3,1,88
90,t,l,t,l,225,-83,3,1,89
91,i,l,t,l,225,-68,1,1,90
92,r,l,t,l,150,-84,1,1,91
93,t,l,t,l,450,-53,3,1,92
94,i,l,t,l,450,-22,1,1,93
95,r,l,m,l,450,26,1,1,94
95,x,x,r,l,450,88,-1,1,94
96,m,l,m,l,600,-83,3,1,95
97,l,l,m,l,150,-37,1,1,96
98,l,l,m,l,150,25,1,1,97
99,r,l,m,l,450,42,1,1,98
99,x,x,r,l,450,72,-1,1,98
100,r,l,r,l,600,-100,3,1,99
